commit_hash,category,topic,title,files_changed,pr_link,author,accepter_1,accepter_2,accepter_3,merge_into
82aaf64422e,autograd_frontend,not user facing,[3/N] Apply py39 ruff fixes (#142115),tools/autograd/gen_annotated_fn_args.py tools/autograd/gen_autograd_functions.py tools/autograd/gen_python_functions.py tools/autograd/gen_trace_type.py tools/autograd/gen_variable_type.py tools/autograd/load_derivatives.py tools/code_analyzer/gen_op_registration_allowlist.py tools/code_coverage/package/tool/print_report.py tools/code_coverage/package/tool/summarize_jsons.py tools/code_coverage/package/util/setting.py tools/extract_scripts.py tools/jit/gen_unboxing.py tools/linter/adapters/no_workflows_on_fork.py tools/linter/adapters/workflow_consistency_linter.py tools/nightly.py tools/nightly_hotpatch.py tools/onnx/gen_diagnostics.py tools/packaging/split_wheel.py tools/pyi/gen_pyi.py tools/setup_helpers/env.py tools/setup_helpers/gen_version_header.py tools/test/test_cmake.py tools/test/test_upload_stats_lib.py tools/testing/clickhouse.py tools/testing/target_determination/heuristics/historical_class_failure_correlation.py tools/testing/target_determination/heuristics/interface.py tools/testing/target_determination/heuristics/utils.py tools/testing/test_run.py tools/testing/test_selections.py tools/testing/update_slow_tests.py tools/testing/upload_artifacts.py,https://github.com/pytorch/pytorch/pull/142115,cyyever,ezyang,,,
24a5a2ef258,skip,Untopiced,[14/N] Fix extra warnings brought by clang-tidy-17 (#141644),aten/src/ATen/MatrixRef.h aten/src/ATen/cuda/CUDABlas.cpp test/cpp/api/optim.cpp torch/csrc/CudaIPCTypes.cpp torch/csrc/Generator.cpp torch/csrc/Generator.h torch/csrc/PyInterpreter.cpp torch/csrc/api/include/torch/cuda.h torch/csrc/api/include/torch/data/dataloader/base.h torch/csrc/api/include/torch/nn/modules/container/any_value.h torch/csrc/api/include/torch/optim/adagrad.h torch/csrc/api/include/torch/optim/optimizer.h torch/csrc/api/include/torch/optim/schedulers/lr_scheduler.h torch/csrc/api/include/torch/ordered_dict.h torch/csrc/api/src/cuda.cpp torch/csrc/autograd/autograd_not_implemented_fallback.cpp torch/csrc/autograd/custom_function.h torch/csrc/autograd/functions/accumulate_grad.cpp torch/csrc/autograd/functions/comm.cpp torch/csrc/autograd/functions/tensor.cpp torch/csrc/autograd/functions/utils.cpp torch/csrc/autograd/profiler_python.cpp torch/csrc/autograd/variable.h torch/csrc/distributed/autograd/context/context.h,https://github.com/pytorch/pytorch/pull/141644,cyyever,ezyang,,,
a8fa98ccefc,skip,not user facing,skip test dynamo for aot_dispatch tests on ci (#142185),.ci/pytorch/test.sh test/functorch/test_aotdispatch.py test/run_test.py,https://github.com/pytorch/pytorch/pull/142185,ydwu4,zou3519,,,
c632e297742,skip,not user facing,[hop][dynamo] support torch.SymInt inputs (#141524),test/functorch/test_control_flow.py torch/_dynamo/variables/builder.py,https://github.com/pytorch/pytorch/pull/141524,ydwu4,zou3519,,,
e647b6d5902,skip,not user facing,Fix undesired specialization on slice after split. (#142372),test/inductor/test_torchinductor.py torch/_decomp/decompositions.py torch/_inductor/sizevars.py,https://github.com/pytorch/pytorch/pull/142372,ysiraichi,ezyang,,,
42d4eec5f38,skip,not user facing,Don't install lintrunner on S390 (#142876),requirements.txt,https://github.com/pytorch/pytorch/pull/142876,malfet,jeanschmidt,,,
e2283818465,skip,not user facing,[TorchGen] Simplify argument_type_str (#142491),torchgen/api/python.py,https://github.com/pytorch/pytorch/pull/142491,cyyever,ezyang,,,
e5f08c0cbf4,skip,not user facing,[TorchGen] Remove cpp_type_registration_declarations (#142452),torchgen/api/types/types.py torchgen/api/types/types_base.py torchgen/executorch/api/types/types.py torchgen/gen.py,https://github.com/pytorch/pytorch/pull/142452,cyyever,ezyang,,,
0b96413dbfc,releng,not user facing,Upgrade expecttest to 0.3.0 (#142869),.ci/docker/requirements-ci.txt .github/requirements/pip-requirements-macOS.txt .github/workflows/lint.yml .lintrunner.toml requirements.txt,https://github.com/pytorch/pytorch/pull/142869,ezyang,albanD,malfet,,
fd65bd755d3,distributed (torchelastic),docs,[BE] replace incorrect .. note:: invocations (#142868),torch/backends/mha/__init__.py torch/cuda/__init__.py torch/distributed/elastic/multiprocessing/api.py torch/distributed/elastic/utils/distributed.py torch/distributed/fsdp/api.py torch/distributed/launcher/api.py torch/distributed/optim/zero_redundancy_optimizer.py torch/distributed/tensor/debug/_comm_mode.py torch/mtia/__init__.py torch/nn/modules/utils.py,https://github.com/pytorch/pytorch/pull/142868,janeyx99,albanD,,,
688f44824bc,distributed,Untopiced,DistributedDataParallel: add init_sync option to control collectives during initialization (#142824),test/distributed/test_c10d_pypg.py torch/nn/parallel/distributed.py,https://github.com/pytorch/pytorch/pull/142824,d4l3k,H-Huang,fegin,wconstab,
bd199bc7542,releng,not user facing,[EZ] Move slow job from CU12.1 to CU12.4 (#142856),.github/workflows/slow.yml,https://github.com/pytorch/pytorch/pull/142856,malfet,ZainRizvi,atalman,huydhn,
de313f1155b,dynamo,Untopiced,[foreach_map] Initial foreach map HOP impl for inference (#142098),test/inductor/test_foreach.py torch/_dynamo/polyfills/__init__.py torch/_dynamo/trace_rules.py torch/_higher_order_ops/__init__.py torch/_higher_order_ops/foreach_map.py torch/_inductor/lowering.py torch/testing/_internal/hop_db.py,https://github.com/pytorch/pytorch/pull/142098,mlazos,eellison,,,
db81a3f31c5,skip,not user facing,[TorchGen] remove remove_non_owning_ref_types from valuetype_type (#142449),torchgen/api/cpp.py torchgen/executorch/api/et_cpp.py,https://github.com/pytorch/pytorch/pull/142449,cyyever,ezyang,,,
1dd6f210293,releng,not user facing,Cuda 12.1 - Remove from trunk tests (#143076),.github/workflows/trunk.yml,https://github.com/pytorch/pytorch/pull/143076,atalman,huydhn,malfet,,
6cb6e8d790f,releng,not user facing,"Python 3.11, 3.12 Remove tests covered by 3.13 (#143078)",.github/workflows/pull.yml,https://github.com/pytorch/pytorch/pull/143078,atalman,huydhn,malfet,,
d68403df3bc,skip,not user facing,filelock: Make waitcounter variant to use (#139816),test/test_utils_filelock.py torch/_dynamo/pgo.py torch/_inductor/aoti_eager.py torch/_inductor/codecache.py torch/_inductor/cpp_builder.py torch/_inductor/cpu_vec_isa.py torch/_inductor/select_algorithm.py torch/utils/_filelock.py,https://github.com/pytorch/pytorch/pull/139816,c00w,ezyang,,,
06075d3d180,inductor,not user facing,[Inductor][CPP] Fix Mask Dtype mismatch (#142103),test/inductor/test_cpu_repro.py torch/_inductor/codegen/cpp.py torch/_inductor/codegen/cpp_utils.py,https://github.com/pytorch/pytorch/pull/142103,leslie-fang-intel,jgong5,,,
cb354f8b473,distributed,Untopiced,[PGNCCL] Move NCCLComm impl to cpp (#142826),torch/csrc/distributed/c10d/NCCLUtils.cpp torch/csrc/distributed/c10d/NCCLUtils.hpp,https://github.com/pytorch/pytorch/pull/142826,kwen2501,c-p-i-o,wconstab,,
f892f9862a6,cuda,not user facing,[ROCM] Enable *_load_dwordx4 ISA for BFloat16 and Half. (#141397),aten/src/ATen/native/cuda/Reduce.cuh aten/src/ATen/native/cuda/ReduceSumProdKernel.cu,https://github.com/pytorch/pytorch/pull/141397,carlobertolli,jeffdaily,,,
2903cf0ad82,distributed,not user facing,Re-enable some C++ warnings (#142332),CMakeLists.txt aten/src/ATen/cuda/detail/CUDAHooks.cpp aten/src/ATen/cuda/detail/LazyNVRTC.cpp aten/src/ATen/test/vec_test_all_types.cpp benchmarks/static_runtime/test_utils.cc caffe2/utils/threadpool/WorkersPool.h cmake/public/utils.cmake functorch/csrc/dim/dim.cpp torch/csrc/distributed/c10d/control_plane/WorkerServer.cpp torch/csrc/lazy/core/ir_dump_util.cpp torch/csrc/profiler/standalone/execution_trace_observer.cpp,https://github.com/pytorch/pytorch/pull/142332,cyyever,albanD,eqy,,
4d0775462eb,skip,not user facing,E2E composability testing (#141398),test/distributed/_composable/test_composability/test_pp_composability.py,https://github.com/pytorch/pytorch/pull/141398,mori360,kwen2501,wconstab,,
fbbafd03200,quantization,not user facing,Turn on AOTAutogradCache by default on open source (#141981),benchmarks/dynamo/pr_time_benchmarks/expected_results.csv test/dynamo/test_aot_autograd.py torch/_functorch/_aot_autograd/autograd_cache.py torch/_functorch/_aot_autograd/jit_compile_runtime_wrappers.py torch/_functorch/aot_autograd.py torch/_functorch/config.py,https://github.com/pytorch/pytorch/pull/141981,jamesjwu,bdhirsh,oulgen,,
f7b9533c3fd,cpp_frontend,Untopiced,[4/N] Apply bugprone-unchecked-optional-access  (#142832),aten/src/ATen/core/List_test.cpp aten/src/ATen/core/enum_type.h aten/src/ATen/core/function_schema.h aten/src/ATen/core/ivalue.h aten/src/ATen/core/jit_type.h aten/src/ATen/core/tensor_type.cpp aten/src/ATen/core/type.cpp aten/src/ATen/functorch/ADInterpreters.cpp aten/src/ATen/functorch/BatchRulesBinaryOps.cpp aten/src/ATen/functorch/BatchRulesFactory.cpp aten/src/ATen/functorch/BatchRulesHelper.cpp aten/src/ATen/functorch/BatchRulesHelper.h aten/src/ATen/functorch/BatchRulesLinearAlgebra.cpp aten/src/ATen/functorch/BatchRulesLoss.cpp aten/src/ATen/functorch/BatchRulesModules.cpp aten/src/ATen/functorch/BatchRulesNorm.cpp aten/src/ATen/functorch/BatchRulesPooling.cpp aten/src/ATen/functorch/BatchRulesRandomness.cpp torch/csrc/Size.cpp torch/csrc/api/include/torch/nn/functional/batchnorm.h torch/csrc/api/include/torch/nn/functional/loss.h torch/csrc/api/include/torch/nn/options/batchnorm.h torch/csrc/api/src/nn/modules/embedding.cpp torch/csrc/api/src/nn/modules/pooling.cpp torch/csrc/api/src/nn/modules/upsampling.cpp torch/csrc/autograd/engine.cpp torch/csrc/autograd/python_function.cpp torch/csrc/autograd/python_function.h torch/csrc/distributed/c10d/sequence_num.cpp torch/csrc/distributed/rpc/script_call.cpp torch/csrc/dynamo/compiled_autograd.h,https://github.com/pytorch/pytorch/pull/142832,cyyever,albanD,,,
20df80a669f,skip,not user facing,Remove unneeded optional dereference (#141578),aten/src/ATen/native/Convolution.cpp aten/src/ATen/native/Loss.cpp aten/src/ATen/native/LossNLL.cpp aten/src/ATen/native/LossNLL2d.cpp aten/src/ATen/native/cuda/Loss.cu aten/src/ATen/native/layer_norm.cpp,https://github.com/pytorch/pytorch/pull/141578,cyyever,swolchok,,,
fda43c98d1b,quantization,not user facing,Improve implementation of quantized_batch_norm (#141570),aten/src/ATen/native/quantized/cpu/Normalization.cpp,https://github.com/pytorch/pytorch/pull/141570,cyyever,albanD,,,
1e2b841675e,skip,not user facing,[ROCm] Prune old gfx archs gfx900/gfx906 from binaries (#142827),.ci/docker/libtorch/build.sh .ci/docker/manywheel/build.sh,https://github.com/pytorch/pytorch/pull/142827,jithunnair-amd,jeffdaily,,,
79cf8fa7517,skip,not user facing,[Inductor] Use sleef implementation for CPP backend asinh codegen (#142360),aten/src/ATen/cpu/vec/vec256/vec256_bfloat16.h aten/src/ATen/cpu/vec/vec256/vec256_double.h aten/src/ATen/cpu/vec/vec256/vec256_float.h aten/src/ATen/cpu/vec/vec512/vec512_bfloat16.h aten/src/ATen/cpu/vec/vec512/vec512_double.h aten/src/ATen/cpu/vec/vec512/vec512_float.h aten/src/ATen/cpu/vec/vec_base.h aten/src/ATen/cpu/vec/vec_n.h test/inductor/test_cpu_repro.py torch/_inductor/codegen/cpp.py,https://github.com/pytorch/pytorch/pull/142360,leslie-fang-intel,jgong5,,,
b25f64b6134,releng,not user facing,Add-o pipefail for all bash scripts (#143050),.ci/pytorch/build.sh .ci/pytorch/common.sh .ci/pytorch/cpp_doc_push_script.sh .ci/pytorch/functorch_doc_push_script.sh .ci/pytorch/install_cache_xla.sh .ci/pytorch/python_doc_push_script.sh .ci/pytorch/test.sh .ci/pytorch/win-build.sh .ci/pytorch/win-test.sh,https://github.com/pytorch/pytorch/pull/143050,Grove-YJX,ezyang,huydhn,,
9701c50bdc8,dynamo,Untopiced,[Dynamo] Add missing tensor builtins to allowed functions (#142841),test/dynamo/test_modes.py torch/_dynamo/trace_rules.py,https://github.com/pytorch/pytorch/pull/142841,mlazos,yanboliang,,,
357e261b1ed,skip,Untopiced,[Dynamo] only import einops if version is lower than 0.7.0 (#142847),torch/_dynamo/decorators.py,https://github.com/pytorch/pytorch/pull/142847,mlazos,zou3519,,,
5ad7d5304c9,distributed,not user facing,[DTensor][random] add HSDP+TP model init test (#143077),test/distributed/_tensor/test_random_ops.py,https://github.com/pytorch/pytorch/pull/143077,XilunWu,weifengpy,,,
dcb128d4952,linalg_frontend,Untopiced,[ROCm] TunableOp use thread-safe getenv functions (#142274),aten/src/ATen/cuda/tunable/Tunable.cpp test/test_linalg.py,https://github.com/pytorch/pytorch/pull/142274,naromero77amd,eqy,jeffdaily,,
da76e912a4c,skip,not user facing,Hide torch_python symbols (#142214),torch/CMakeLists.txt torch/csrc/Layout.h torch/csrc/QScheme.h torch/csrc/utils/device_lazy_init.h,https://github.com/pytorch/pytorch/pull/142214,cyyever,ezyang,,,
497f89ff832,export,Untopiced,fix dynamo nn module stack fqn (#142823),test/export/test_export.py torch/export/_trace.py,https://github.com/pytorch/pytorch/pull/142823,avikchaudhuri,pianpwk,zhxchen17,,
a5fb07af271,distributed,Untopiced,[Torch][#142396]Resolve Failure When Uploading To Remote Storage (#143046),torch/distributed/checkpoint/filesystem.py,https://github.com/pytorch/pytorch/pull/143046,Saiteja64,saumishr,,,
91261107e0b,quantization,Untopiced,debug handler maintain through decomposition (#141612),docs/source/conf.py test/quantization/pt2e/test_numeric_debugger.py torch/ao/quantization/pt2e/_numeric_debugger.py torch/ao/quantization/pt2e/graph_utils.py torch/testing/_internal/common_quantization.py,https://github.com/pytorch/pytorch/pull/141612,Gasoonjia,jerryzh168,,,
30e2b322a1e,fx,not user facing,Add <string> to uninteresting_files (#142984),torch/fx/experimental/symbolic_shapes.py,https://github.com/pytorch/pytorch/pull/142984,ezyang,IvanKobzarev,albanD,,
cd1b5924d53,skip,Untopiced,"Revert ""[Inductor] Use sleef implementation for CPP backend asinh codegen (#142360)""",aten/src/ATen/cpu/vec/vec256/vec256_bfloat16.h aten/src/ATen/cpu/vec/vec256/vec256_double.h aten/src/ATen/cpu/vec/vec256/vec256_float.h aten/src/ATen/cpu/vec/vec512/vec512_bfloat16.h aten/src/ATen/cpu/vec/vec512/vec512_double.h aten/src/ATen/cpu/vec/vec512/vec512_float.h aten/src/ATen/cpu/vec/vec_base.h aten/src/ATen/cpu/vec/vec_n.h test/inductor/test_cpu_repro.py torch/_inductor/codegen/cpp.py,,,,,,
84f791381a9,releng,not user facing,Python 3.13 CI add crossref test to existing linux-focal-py3_13-clang10-build  (#143074),.github/workflows/pull.yml,https://github.com/pytorch/pytorch/pull/143074,atalman,malfet,,,
7cc3a591c22,inductor,not user facing,[FlexAttention] Fix a few more symbolic shape issues (#142816),test/inductor/test_flex_attention.py torch/_inductor/kernel/flex_attention.py torch/_inductor/kernel/flex_decoding.py,https://github.com/pytorch/pytorch/pull/142816,drisspg,ezyang,yanboliang,,
d83a0492322,releng,not user facing,[EZ] Update lintrunner in CI to 0.12.7 (#143073),.ci/docker/requirements-ci.txt .github/scripts/lintrunner.sh,https://github.com/pytorch/pytorch/pull/143073,malfet,wdvr,,,
725526abc50,inductor,not user facing,Fix scan dtypes (#143048),test/inductor/test_op_dtype_prop.py torch/_inductor/codegen/triton.py torch/_inductor/codegen/triton_split_scan.py,https://github.com/pytorch/pytorch/pull/143048,eellison,arui-meta,blaine-rister,,
e3ddc0ca331,inductor,not user facing,Support remote caching requiring redis auth (#141679),torch/_inductor/remote_cache.py,https://github.com/pytorch/pytorch/pull/141679,yasyf,masnesral,,,
30b61e521c6,dynamo,not user facing,[logging] Populate compile_time_autotune_time_us (#143104),test/dynamo/test_utils.py torch/_dynamo/utils.py torch/_inductor/fx_passes/pad_mm.py torch/_inductor/scheduler.py torch/_inductor/select_algorithm.py,https://github.com/pytorch/pytorch/pull/143104,masnesral,ezyang,,,
15ee2960e1f,skip,not user facing,[aot] Functionalize aot backward prologue and epilogue wrappers (#142415),torch/_functorch/_aot_autograd/runtime_wrappers.py,https://github.com/pytorch/pytorch/pull/142415,xmfan,bdhirsh,,,
cf538efd0c4,skip,Untopiced,"Revert ""Hide torch_python symbols (#142214)""",torch/CMakeLists.txt torch/csrc/Layout.h torch/csrc/QScheme.h torch/csrc/utils/device_lazy_init.h,,,,,,
520ba556cd4,inductor,not user facing,"[Inductor] Refactor ""r"" reduction prefix to {""r0_"", ""r1_""}. (#142020)",test/inductor/test_coordinate_descent_tuner.py test/inductor/test_padding.py test/inductor/test_torchinductor.py torch/_inductor/codegen/simd.py torch/_inductor/codegen/triton.py torch/_inductor/codegen/triton_combo_kernel.py torch/_inductor/codegen/triton_split_scan.py torch/_inductor/ir.py torch/_inductor/runtime/coordinate_descent_tuner.py torch/_inductor/runtime/hints.py torch/_inductor/runtime/triton_heuristics.py torch/_inductor/select_algorithm.py torch/_inductor/utils.py torch/utils/_sympy/symbol.py,https://github.com/pytorch/pytorch/pull/142020,blaine-rister,jansel,,,
7667235a23e,cpp_frontend,improvements,c10::optional -> std::optional (#142514),aten/src/ATen/native/mkldnn/xpu/detail/QConv.cpp aten/src/ATen/native/mkldnn/xpu/detail/oneDNN.h aten/src/ATen/native/mkldnn/xpu/qconv.cpp test/cpp/api/autograd.cpp torch/csrc/autograd/engine.cpp torch/csrc/autograd/engine.h,https://github.com/pytorch/pytorch/pull/142514,r-barnes,malfet,,,
dc23f1944ae,skip,Untopiced,Remove unused Python variables in torch/[_-a]* (#133492),torch/_appdirs.py torch/_decomp/decompositions.py torch/_dispatch/python.py torch/_dynamo/backends/distributed.py torch/_dynamo/comptime.py torch/_dynamo/debug_utils.py torch/_dynamo/decorators.py torch/_dynamo/eval_frame.py torch/_dynamo/guards.py torch/_dynamo/polyfills/__init__.py torch/_dynamo/repro/after_aot.py torch/_dynamo/repro/after_dynamo.py torch/_dynamo/symbolic_convert.py torch/_dynamo/test_minifier_common.py torch/_dynamo/utils.py torch/_dynamo/variables/builder.py torch/_dynamo/variables/builtin.py torch/_dynamo/variables/dicts.py torch/_dynamo/variables/higher_order_ops.py torch/_dynamo/variables/misc.py torch/_dynamo/variables/optimizer.py torch/_dynamo/variables/tensor.py torch/_export/__init__.py torch/_export/converter.py torch/_export/db/examples/pytree_flatten.py torch/_export/serde/serialize.py torch/_export/utils.py torch/_functorch/_aot_autograd/collect_metadata_analysis.py torch/_functorch/_aot_autograd/functional_utils.py torch/_functorch/_aot_autograd/input_output_analysis.py torch/_functorch/_aot_autograd/runtime_wrappers.py torch/_functorch/_aot_autograd/traced_function_transforms.py torch/_functorch/_aot_autograd/utils.py torch/_functorch/aot_autograd.py torch/_functorch/compilers.py torch/_functorch/eager_transforms.py torch/_functorch/partitioners.py torch/_higher_order_ops/associative_scan.py torch/_higher_order_ops/cond.py torch/_higher_order_ops/flex_attention.py torch/_higher_order_ops/invoke_subgraph.py torch/_higher_order_ops/prim_hop_base.py torch/_higher_order_ops/scan.py torch/_higher_order_ops/torchbind.py torch/_higher_order_ops/triton_kernel_wrap.py torch/_higher_order_ops/while_loop.py torch/_inductor/__init__.py torch/_inductor/aoti_eager.py torch/_inductor/autoheuristic/learned_heuristic_controller.py torch/_inductor/autotune_process.py torch/_inductor/codecache.py torch/_inductor/codegen/cpp.py torch/_inductor/codegen/cpp_wrapper_cpu.py torch/_inductor/codegen/cpp_wrapper_cpu_array_ref.py torch/_inductor/codegen/cuda/cuda_cpp_scheduling.py torch/_inductor/codegen/cuda/gemm_template.py torch/_inductor/codegen/halide.py torch/_inductor/codegen/rocm/rocm_cpp_scheduling.py torch/_inductor/codegen/simd.py torch/_inductor/codegen/triton.py torch/_inductor/codegen/triton_combo_kernel.py torch/_inductor/codegen/wrapper.py torch/_inductor/compile_fx.py torch/_inductor/compile_worker/subproc_pool.py torch/_inductor/compiler_bisector.py torch/_inductor/cpp_builder.py torch/_inductor/cpu_vec_isa.py torch/_inductor/cudagraph_trees.py torch/_inductor/debug.py torch/_inductor/dependencies.py torch/_inductor/fx_passes/ddp_fusion.py torch/_inductor/fx_passes/micro_pipeline_tp.py torch/_inductor/fx_passes/mkldnn_fusion.py torch/_inductor/fx_passes/numeric_utils.py torch/_inductor/fx_passes/pad_mm.py torch/_inductor/fx_passes/post_grad.py torch/_inductor/fx_passes/reinplace.py torch/_inductor/fx_passes/split_cat.py torch/_inductor/fx_utils.py torch/_inductor/graph.py torch/_inductor/ir.py torch/_inductor/kernel/flex_attention.py torch/_inductor/kernel/mm_scaled.py torch/_inductor/lowering.py torch/_inductor/mkldnn_ir.py torch/_inductor/output_code.py torch/_inductor/runtime/autotune_cache.py torch/_inductor/runtime/halide_helpers.py torch/_inductor/runtime/runtime_utils.py torch/_inductor/runtime/triton_helpers.py torch/_inductor/scheduler.py torch/_inductor/select_algorithm.py torch/_inductor/utils.py torch/_jit_internal.py torch/_library/fake_class_registry.py torch/_library/infer_schema.py torch/_lobpcg.py torch/_logging/_internal.py torch/_lowrank.py torch/_meta_registrations.py torch/_numpy/testing/utils.py torch/_ops.py torch/_prims/__init__.py torch/_refs/__init__.py torch/_strobelight/cli_function_profiler.py torch/_strobelight/examples/cli_function_profiler_example.py torch/_strobelight/examples/compile_time_profile_example.py torch/_subclasses/fake_impls.py torch/_subclasses/fake_tensor.py torch/_subclasses/meta_utils.py torch/_subclasses/schema_check_mode.py torch/_tensor_str.py torch/_utils.py torch/_weights_only_unpickler.py torch/ao/nn/quantizable/modules/rnn.py torch/ao/nn/quantized/dynamic/modules/rnn.py torch/ao/nn/quantized/modules/embedding_ops.py torch/ao/nn/sparse/quantized/dynamic/linear.py torch/ao/nn/sparse/quantized/linear.py torch/ao/ns/_numeric_suite_fx.py torch/ao/ns/fx/graph_passes.py torch/ao/ns/fx/n_shadows_utils.py torch/ao/pruning/sparsifier/base_sparsifier.py torch/ao/quantization/__init__.py torch/ao/quantization/backend_config/_qnnpack_pt2e.py torch/ao/quantization/backend_config/onednn.py torch/ao/quantization/experimental/apot_utils.py torch/ao/quantization/experimental/linear.py torch/ao/quantization/experimental/observer.py torch/ao/quantization/fx/_lower_to_native_backend.py torch/ao/quantization/fx/_model_report/model_report.py torch/ao/quantization/fx/_model_report/model_report_visualizer.py torch/ao/quantization/fx/convert.py torch/ao/quantization/fx/prepare.py torch/ao/quantization/pt2e/representation/rewrite.py torch/ao/quantization/quantize.py torch/ao/quantization/quantizer/xnnpack_quantizer_utils.py torch/ao/quantization/utils.py torch/autograd/_functions/utils.py torch/autograd/function.py torch/autograd/gradcheck.py torch/autograd/profiler_legacy.py torch/autograd/profiler_util.py,https://github.com/pytorch/pytorch/pull/133492,rec,albanD,,,
2f0fe82f6d0,skip,Untopiced,"Revert ""[14/N] Fix extra warnings brought by clang-tidy-17 (#141644)""",aten/src/ATen/MatrixRef.h aten/src/ATen/cuda/CUDABlas.cpp test/cpp/api/optim.cpp torch/csrc/CudaIPCTypes.cpp torch/csrc/Generator.cpp torch/csrc/Generator.h torch/csrc/PyInterpreter.cpp torch/csrc/api/include/torch/cuda.h torch/csrc/api/include/torch/data/dataloader/base.h torch/csrc/api/include/torch/nn/modules/container/any_value.h torch/csrc/api/include/torch/optim/adagrad.h torch/csrc/api/include/torch/optim/optimizer.h torch/csrc/api/include/torch/optim/schedulers/lr_scheduler.h torch/csrc/api/include/torch/ordered_dict.h torch/csrc/api/src/cuda.cpp torch/csrc/autograd/autograd_not_implemented_fallback.cpp torch/csrc/autograd/custom_function.h torch/csrc/autograd/functions/accumulate_grad.cpp torch/csrc/autograd/functions/comm.cpp torch/csrc/autograd/functions/tensor.cpp torch/csrc/autograd/functions/utils.cpp torch/csrc/autograd/profiler_python.cpp torch/csrc/autograd/variable.h torch/csrc/distributed/autograd/context/context.h,,,,,,
c85323c5e82,skip,Untopiced,"Revert ""Tests Generelization for multiple accelerator devices (#139184)""",test/distributed/fsdp/test_checkpoint_wrapper.py test/distributed/fsdp/test_distributed_checkpoint.py test/distributed/fsdp/test_fsdp_apply.py test/distributed/fsdp/test_fsdp_backward_prefetch.py test/distributed/fsdp/test_fsdp_checkpoint.py test/distributed/fsdp/test_fsdp_clip_grad_norm.py test/distributed/fsdp/test_fsdp_comm.py test/distributed/fsdp/test_fsdp_core.py test/distributed/fsdp/test_fsdp_dtensor_state_dict.py test/distributed/fsdp/test_fsdp_exec_order.py test/distributed/fsdp/test_fsdp_fine_tune.py test/distributed/fsdp/test_fsdp_fx.py test/distributed/fsdp/test_fsdp_input.py test/distributed/fsdp/test_fsdp_memory.py test/distributed/fsdp/test_fsdp_multiple_forward.py test/distributed/fsdp/test_fsdp_multiple_wrapping.py test/distributed/fsdp/test_fsdp_overlap.py test/distributed/fsdp/test_fsdp_pure_fp16.py test/distributed/fsdp/test_fsdp_traversal.py test/distributed/fsdp/test_fsdp_uneven.py test/distributed/fsdp/test_fsdp_unshard_params.py test/distributed/fsdp/test_hsdp_dtensor_state_dict.py test/distributed/fsdp/test_utils.py torch/testing/_internal/common_fsdp.py,,,,,,
7edeb1005af,dynamo,Untopiced,[dynamo][pytree][2/N] make CXX pytree traceable: `tree_flatten` / `tree_unflatten` / `tree_structure` (#137398),test/dynamo/test_misc.py test/test_pytree.py torch/_dynamo/polyfills/pytree.py torch/utils/_cxx_pytree.py torch/utils/_pytree.py,https://github.com/pytorch/pytorch/pull/137398,XuehaiPan,jansel,,,
d47a80246a6,dynamo,Untopiced,[dynamo][pytree][3/N] make CXX pytree traceable: `tree_map` / `tree_map_` (#137399),test/dynamo/test_misc.py torch/_dynamo/polyfills/pytree.py torch/utils/_cxx_pytree.py torch/utils/_pytree.py,https://github.com/pytorch/pytorch/pull/137399,XuehaiPan,jansel,,,
5dabe2d4648,skip,not user facing,Fix NJT backward tests (#143072),test/functorch/test_vmap.py test/test_nestedtensor.py torch/testing/_internal/opinfo/core.py torch/testing/_internal/opinfo/definitions/nested.py,https://github.com/pytorch/pytorch/pull/143072,jbschlosser,cpuhrsch,soulitzer,,
ee5bceaee62,export,Untopiced,[sigmoid] Write the new export schema format to archive without breaking compatibility. (#142511),torch/_export/serde/export_schema.thrift torch/_export/serde/gen-cpp2/export_schema_constants.h torch/_export/serde/gen-cpp2/export_schema_types.h torch/_export/serde/schema.thrift torch/_export/serde/schema_check.py,https://github.com/pytorch/pytorch/pull/142511,zhxchen17,desertfire,,,
b0c3d39e0d4,distributed,Untopiced,[pipelining] Update tutorials and documentation (#143045),docs/source/distributed.pipelining.rst torch/distributed/pipelining/_IR.py,https://github.com/pytorch/pytorch/pull/143045,H-Huang,kwen2501,wconstab,,
d48b16a7251,skip,Untopiced,"Revert ""[Dynamo] only import einops if version is lower than 0.7.0 (#142847)""",torch/_dynamo/decorators.py,,,,,,
